"weight";"word";"color";"url"
"3";"Express JS";"";""
"3";"GraphQL";"";""
"3";"Javascript";"";""
"3";"Node JS";"";""
"3";"React JS";"";""
"3";"Typescript";"";""
"3";"Next JS";"";""
"2";"SQL";"";""
"2";"GraphQL Module";"";""
"2";"PrismaJS";"";""
"2";"AWS";"";""
"2";"CSS";"";""
"2";"Docker";"";""
"2";"HTML";"";""
"2";"Kubernetes";"";""
"2";"Redux Toolkit";"";""
"2";"Rest API";"";""
"2";"SCSS";"";""
"2";"Shadcn";"";""
"2";"Styled Component";"";""
"2";"Tailwind CSS";"";""
"2";"Vite";"";""
"2";"React Native";"";""
"2";"Astro JS";"";""
"2";"PostgreSQL";"";""
"2";"Redis";"";""
"2";"Remix JS";"";""
"2";"MySQL";"";""
"1";"Socket.IO";"";""
"1";"PM2";"";""
"1";"Axios";"";""
"1";"Lodash";"";""
"1";"Passport JS";"";""
"1";"JWT";"";""
"1";"RDS";"";""
"1";"EC2";"";""
"1";"S3";"";""
"1";"Apache";"";""
"1";"NPM";"";""
"1";"Yarn";"";""
"1";"Husky";"";""
"1";"ESLint";"";""
"1";"Prettier";"";""
"1";"Git";"";""
"1";"Bitbucket";"";""
"1";"GitHub";"";""
"1";"GitLab";"";""
"1";"Heroku";"";""
"1";"React Testing Library";"";""
"1";"Bash/Shell";"";""
"1";"Bun";"";""
"1";"Template Engines";"";""
"1";"CDN";"";""
"1";"Load Balancer";"";""
"1";"Podman";"";""
"1";"Fastly";"";""
"1";"Terraform";"";""
"1";"GitHub Actions";"";""
"1";"Hapi";"";""
"1";"Electron";"";""
"1";"Apollo GraphQL";"";""
"1";"Babel";"";""
"1";"Bootstrap";"";""
"1";"Bootstrap";"";""
"1";"Chai";"";""
"1";"Cloud Computing";"";""
"1";"Cypress.IO";"";""
"1";"DataDog";"";""
"1";"DigitaOcean";"";""
"1";"DynamoDB";"";""
"1";"EJS";"";""
"1";"Elastic Search";"";""
"1";"Ethers JS";"";""
"1";"Handlebar JS";"";""
"1";"Jest";"";""
"1";"LESS";"";""
"1";"Material UI";"";""
"1";"Mocha";"";""
"1";"Mongo DB";"";""
"1";"Mongoose ODM";"";""
"1";"NativeWind";"";""
"1";"Nest JS";"";""
"1";"Nginx";"";""
"1";"Sequelize ORM";"";""
"1";"Serverless Computing";"";""
"1";"Solidity";"";""
"1";"Storybook";"";""
"1";"Tanstack/React Query";"";""
"1";"Tanstack/React Router";"";""
"1";"Tanstack/Table";"";""
"1";"WebSocket";"";""
"1";"Web3 JS";"";""
"1";"Webpack";"";""
